cust_sentiment,ads,satis,contact,econ1,econ2
44.6570117,57.76423024,10.71621298,31.3523576,8.82575207,515.6020004
86.58810975,60.5470105,9.592415452,27.78475606,8.63853068,470.7545862
72.95678374,46.30581804,11.40039061,27.82540701,8.04199841,564.2010897
127.7210096,33.09633519,9.710856667,28.83287106,12.67819795,490.2863821
72.73818196,38.39228688,7.370843574,28.49859624,12.09751899,421.7483014
89.08964538,42.22828666,11.57469881,31.38355175,2.590014186,549.7357113
94.0763167,42.15468044,12.06152703,28.79089793,9.191598502,516.2623655
84.4797439,38.13951627,12.22563613,30.10108034,9.420304102,445.7680678
92.36724409,38.67060081,9.105022003,30.58423126,4.406563534,434.3659335
79.12666625,40.33522857,11.49346937,31.04120963,10.92121552,502.958126
94.45871772,50.9332764,9.547013944,30.41807868,12.02781796,557.780321
66.45746296,43.18392098,9.881770596,30.15367064,7.904256656,450.6332127
86.16778506,49.71845413,7.874722686,29.6152509,8.581294207,485.2991976
95.57261429,63.43453173,6.860413473,29.89088753,9.89295597,461.3809106
96.20289222,44.30489909,10.73199743,30.65451383,11.59951361,487.4030347
70.37349886,42.63055234,10.3347186,31.80378868,7.934742262,380.9993808
80.9126206,53.09295573,8.71945415,29.69363312,8.532951647,406.2441926
33.12267006,38.12091194,7.530886613,29.0162032,8.63721814,462.6366767
30.05650971,52.37285251,11.91861412,28.95724506,15.74818333,472.818797
108.4737145,51.57453555,7.444044783,30.13070482,11.63478559,385.4977522
85.40585014,59.47003187,7.304596026,30.84507073,16.54315089,567.7694852
88.4779686,47.49975591,14.49890854,29.28451946,7.952517601,514.1410977
90.29685811,48.64794248,9.044114387,29.31878526,8.673386199,482.931701
71.61176347,48.64629083,6.466745475,30.51289103,12.23370638,468.2750271
105.3410571,48.2300793,10.84121191,29.1194248,15.44241187,469.5485821
118.9439475,50.79383326,9.020512774,27.86839097,10.45952881,515.0957451
100.286525,59.14619693,11.91450314,29.43038575,15.16642064,488.2322552
116.0455249,43.48775129,9.816340876,29.84709828,4.380604226,423.0691368
85.73337184,45.68404449,8.973463951,29.0166631,11.5369818,486.1791274
101.5650164,49.27799641,8.810936106,30.35150914,6.047462218,466.332427
133.3599217,49.20678977,10.30985468,31.65065536,8.133486035,478.0975491
97.92476947,50.21079316,12.54860371,30.86194469,4.180171096,495.5290294
86.96192703,49.51533998,6.632942533,29.63404556,12.74121947,503.3482853
113.8114043,57.05381605,9.480288378,29.40904217,5.798238564,464.3065722
74.38030023,35.82003191,10.26744642,28.34609787,9.395122271,477.9068045
99.56019847,52.20098482,10.2674029,28.63303753,11.10087491,594.6955474
81.04422695,59.8117772,7.402536252,30.57037861,9.84668057,494.1368591
77.69071944,32.81036905,10.06679774,30.88008162,8.385976965,588.8863804
91.60704879,50.08866496,11.45943005,30.50856654,11.51700969,544.6552885
73.25121995,35.55815199,10.19984187,29.55498496,3.741855156,470.621943
99.1097004,52.18134331,10.39670661,32.07443354,9.081995889,524.2002444
103.8232298,50.32498362,13.58097604,30.1734576,12.96474004,497.7604042
54.428031,41.38602737,10.41481365,30.09645828,8.417114211,466.7990396
97.33262378,62.48803807,14.67056085,30.49170398,8.04749802,435.7341095
97.83965756,43.64941335,11.45066881,31.66397915,4.759205166,411.3132404
78.76892844,53.21585434,10.64321044,33.00881428,7.625265119,506.7229803
99.93300131,45.9185123,13.00240088,29.92840074,10.7909057,547.7440763
103.3225561,52.12709028,7.860507025,30.68430996,9.688208076,495.8124398
64.05493365,36.58952975,11.23729597,31.3429442,9.315776771,443.9586268
87.78356728,46.13715558,10.53207353,28.64012463,8.252131267,463.3250268
101.8693528,49.5952148,10.71461197,31.83146515,7.479074722,443.6525255
112.9213931,63.31567443,12.31871129,29.51923452,11.01362806,495.3358105
128.3902531,42.54212753,10.69352046,30.24568988,7.684413512,529.3702081
87.17412986,45.21766455,7.226376622,29.60167379,13.82489652,499.5365999
87.8521992,56.37135338,7.786739053,29.33330741,10.65565214,524.7680723
107.7341586,60.90169508,10.34442255,31.2055175,10.18144846,503.5904568
128.5475521,47.03617439,11.75272132,29.00992844,16.67894136,564.8171196
98.17275296,33.55361268,8.255324404,30.334427,11.87943483,565.1701975
107.851629,51.75989051,11.4737108,28.6263968,12.30742161,528.5550858
144.1758889,59.72843874,10.62789838,31.16100663,9.855160426,468.4203994
94.74735132,40.08558891,5.966048926,29.16359223,12.07304659,548.4029959
69.36304074,52.60693569,10.40675247,31.4193821,10.85066532,490.633993
59.93032626,48.10270409,8.123213746,30.54230464,7.34234023,551.1139783
65.26559906,41.56741503,9.085009474,29.64515528,10.78200891,512.2696941
68.00157849,54.25516112,8.323241333,28.35104903,8.534856607,570.026809
76.43631936,57.00703967,13.03228902,30.17616479,12.16024162,407.6749707
58.77108349,24.96293733,10.73093302,29.88134511,8.436902554,546.4894107
88.97154609,49.76298826,8.959940794,28.51906915,5.61780726,493.3269951
69.76416037,54.47238335,10.34643874,30.05157759,8.786575944,510.4896508
66.56350013,60.71588244,11.62065362,30.57761606,8.343348646,526.8027695
68.99187811,46.85804448,7.818431569,28.7216272,7.660585414,510.1385257
98.63272299,56.63905396,9.453025815,29.17782792,6.639877536,538.353565
66.24582781,51.60295856,5.847020116,29.23324079,6.794777971,526.0205314
88.95009707,61.73450239,10.46469406,29.11564146,8.753201608,458.2336515
103.7228711,53.95064708,10.63873001,31.06045421,8.62864919,525.1197063
100.6761452,52.42024399,12.24612402,29.39899569,8.383805198,539.7254075
