ads,satis,contact,econ1,econ2
57.76423024,10.71621298,31.3523576,8.82575207,515.6020004
60.5470105,9.592415452,27.78475606,8.63853068,470.7545862
46.30581804,11.40039061,27.82540701,8.04199841,564.2010897
33.09633519,9.710856667,28.83287106,12.67819795,490.2863821
38.39228688,7.370843574,28.49859624,12.09751899,421.7483014
42.22828666,11.57469881,31.38355175,2.590014186,549.7357113
42.15468044,12.06152703,28.79089793,9.191598502,516.2623655
38.13951627,12.22563613,30.10108034,9.420304102,445.7680678
38.67060081,9.105022003,30.58423126,4.406563534,434.3659335
40.33522857,11.49346937,31.04120963,10.92121552,502.958126
50.9332764,9.547013944,30.41807868,12.02781796,557.780321
43.18392098,9.881770596,30.15367064,7.904256656,450.6332127
49.71845413,7.874722686,29.6152509,8.581294207,485.2991976
63.43453173,6.860413473,29.89088753,9.89295597,461.3809106
44.30489909,10.73199743,30.65451383,11.59951361,487.4030347
42.63055234,10.3347186,31.80378868,7.934742262,380.9993808
53.09295573,8.71945415,29.69363312,8.532951647,406.2441926
38.12091194,7.530886613,29.0162032,8.63721814,462.6366767
52.37285251,11.91861412,28.95724506,15.74818333,472.818797
51.57453555,7.444044783,30.13070482,11.63478559,385.4977522
59.47003187,7.304596026,30.84507073,16.54315089,567.7694852
47.49975591,14.49890854,29.28451946,7.952517601,514.1410977
48.64794248,9.044114387,29.31878526,8.673386199,482.931701
48.64629083,6.466745475,30.51289103,12.23370638,468.2750271
48.2300793,10.84121191,29.1194248,15.44241187,469.5485821
50.79383326,9.020512774,27.86839097,10.45952881,515.0957451
59.14619693,11.91450314,29.43038575,15.16642064,488.2322552
43.48775129,9.816340876,29.84709828,4.380604226,423.0691368
45.68404449,8.973463951,29.0166631,11.5369818,486.1791274
49.27799641,8.810936106,30.35150914,6.047462218,466.332427
49.20678977,10.30985468,31.65065536,8.133486035,478.0975491
50.21079316,12.54860371,30.86194469,4.180171096,495.5290294
49.51533998,6.632942533,29.63404556,12.74121947,503.3482853
